amp,u2
0,0.1
0,1.3
0,2.5
0,3.7
0,4.9
1.602e-17,6.1
0,7.3
8.01e-17,8.5
1.9224e-16,9.7
2.5632e-16,10.9
3.204e-16,12.1
5.607e-16,13.3
8.81100000000001e-16,14.5
8.81100000000001e-16,15.7
1.16946e-15,16.9
1.07334e-15,18.1
5.2866e-16,19.3
5.9274e-16,20.5
3.3642e-16,21.7
2.403e-16,22.9
1.7622e-16,24.1
8.01e-17,25.3
1.1214e-16,26.5
8.01e-16,27.7
9.2916e-16,28.9
1.53792e-15,30.1
1.45782e-15,31.3
2.46707999999999e-15,32.5
2.25882e-15,33.7
3.02777999999999e-15,34.9
3.97295999999998e-15,36.1
3.34817999999998e-15,37.3
2.09862e-15,38.5
2.11464e-15,39.7
1.77822e-15,40.9
1.4418e-15,42.1
1.08936e-15,43.3
1.07334e-15,44.5
8.9712e-16,45.7
1.95444e-15,46.9
2.54717999999999e-15,48.1
3.22001999999998e-15,49.3
4.13315999999997e-15,50.5
5.09435999999996e-15,51.7
5.49485999999996e-15,52.9
6.39197999999995e-15,54.1
7.03277999999994e-15,55.3
4.83803999999997e-15,56.5
4.10111999999997e-15,57.7
3.94091999999998e-15,58.9
3.98897999999998e-15,60.1
3.81275999999998e-15,61.3
3.22001999999998e-15,62.5
3.15593999999999e-15,63.7
3.41225999999998e-15,64.9
4.82201999999997e-15,66.1
5.78321999999996e-15,67.3
6.93665999999994e-15,68.5
7.80173999999993e-15,69.7
8.15417999999993e-15,70.9
1.02047399999999e-14,72.1
1.12300199999999e-14,73.3
1.19188799999999e-14,74.5
7.30511999999994e-15,75.7
6.26381999999995e-15,76.9
5.75117999999996e-15,78.1
6.39197999999995e-15,79.3
